"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"1",0.1,0.01,1,133.666666666667,0,10,2,2,40,8e+05
"2",0.2,0.01,1,141.133333333333,0,10,2,2,40,8e+05
"3",0.3,0.01,2,69.2333333333333,23,10,2,2,40,8e+05
"4",0.4,0.01,2,55.1666666666667,25.2333333333333,10,2,2,40,8e+05
"5",0.1,0.01,1,134.366666666667,0,10,2,2,40,8e+05
"6",0.2,0.01,2,124.233333333333,4.96666666666667,10,2,2,40,8e+05
"7",0.3,0.01,2,63.9333333333333,22.2,10,2,2,40,8e+05
"8",0.4,0.01,2,48.7333333333333,21.7,10,2,2,40,8e+05
"9",0.1,0.01,1,139.466666666667,0,10,2,2,40,8e+05
"10",0.2,0.01,1,151.233333333333,0,10,2,2,40,8e+05
"11",0.3,0.01,2,73.1,15.5666666666667,10,2,2,40,8e+05
"12",0.4,0.01,2,53.3,24.0666666666667,10,2,2,40,8e+05
"13",0.1,0.01,1,142.733333333333,0,10,2,2,40,8e+05
"14",0.2,0.01,1,145.766666666667,0,10,2,2,40,8e+05
"15",0.3,0.01,2,63.9,21.2,10,2,2,40,8e+05
"16",0.4,0.01,2,51.2666666666667,23.3,10,2,2,40,8e+05
"17",0.1,0.01,1,135.8,0,10,2,2,40,8e+05
"18",0.2,0.01,1,142.8,0,10,2,2,40,8e+05
"19",0.3,0.01,2,58.0333333333333,20.9,10,2,2,40,8e+05
"20",0.4,0.01,1,145.8,0,10,2,2,40,8e+05
"21",0.1,0.01,1,147.766666666667,0,10,2,2,40,8e+05
"22",0.2,0.01,1,145.566666666667,0,10,2,2,40,8e+05
"23",0.3,0.01,2,79.2,20.3,10,2,2,40,8e+05
"24",0.4,0.01,2,51.8333333333333,18.1666666666667,10,2,2,40,8e+05
"25",0.1,0.01,1,143.933333333333,0,10,2,2,40,8e+05
"26",0.2,0.01,1,139.9,0,10,2,2,40,8e+05
"27",0.3,0.01,2,82.1,18.1,10,2,2,40,8e+05
"28",0.4,0.01,1,144.933333333333,0,10,2,2,40,8e+05
"29",0.1,0.01,1,142.5,0,10,2,2,40,8e+05
"30",0.2,0.01,1,143.933333333333,0,10,2,2,40,8e+05
"31",0.3,0.01,2,62.1333333333333,19.4,10,2,2,40,8e+05
"32",0.4,0.01,2,51.6666666666667,26.3,10,2,2,40,8e+05
"33",0.1,0.01,1,137,0,10,2,2,40,8e+05
"34",0.2,0.01,1,145.133333333333,0,10,2,2,40,8e+05
"35",0.3,0.01,2,67.8333333333333,22.0666666666667,10,2,2,40,8e+05
"36",0.4,0.01,2,50.2,22.6333333333333,10,2,2,40,8e+05
"37",0.1,0.01,1,145.8,0,10,2,2,40,8e+05
"38",0.2,0.01,1,139.866666666667,0,10,2,2,40,8e+05
"39",0.3,0.01,2,79.4,15.3333333333333,10,2,2,40,8e+05
"40",0.4,0.01,2,51.9,22.4333333333333,10,2,2,40,8e+05
"41",0.1,0.01,1,143.766666666667,0,10,2,2,40,8e+05
"42",0.2,0.01,1,137.1,0,10,2,2,40,8e+05
"43",0.3,0.01,2,89.7,17.7,10,2,2,40,8e+05
"44",0.4,0.01,2,50.9333333333333,22.5666666666667,10,2,2,40,8e+05
"45",0.1,0.01,1,144.4,0,10,2,2,40,8e+05
"46",0.2,0.01,1,144,0,10,2,2,40,8e+05
"47",0.3,0.01,2,100.666666666667,12.8666666666667,10,2,2,40,8e+05
"48",0.4,0.01,2,50.8333333333333,22.4666666666667,10,2,2,40,8e+05
"49",0.1,0.01,1,136.966666666667,0,10,2,2,40,8e+05
"50",0.2,0.01,2,123.366666666667,6.36666666666667,10,2,2,40,8e+05
"51",0.3,0.01,2,72.5666666666667,19.5333333333333,10,2,2,40,8e+05
"52",0.4,0.01,2,51.5666666666667,21.7333333333333,10,2,2,40,8e+05
"53",0.1,0.01,1,139.233333333333,0,10,2,2,40,8e+05
"54",0.2,0.01,1,143.866666666667,0,10,2,2,40,8e+05
"55",0.3,0.01,2,72.4,20.2,10,2,2,40,8e+05
"56",0.4,0.01,2,50.8666666666667,25,10,2,2,40,8e+05
"57",0.1,0.01,1,141.166666666667,0,10,2,2,40,8e+05
"58",0.2,0.01,1,139.8,0,10,2,2,40,8e+05
"59",0.3,0.01,2,69.5,17.1666666666667,10,2,2,40,8e+05
"60",0.4,0.01,2,51.4666666666667,25.0333333333333,10,2,2,40,8e+05
"61",0.1,0.01,1,143.366666666667,0,10,2,2,40,8e+05
"62",0.2,0.01,2,130.1,3.53333333333333,10,2,2,40,8e+05
"63",0.3,0.01,2,60.4333333333333,20.5333333333333,10,2,2,40,8e+05
"64",0.4,0.01,2,52.9666666666667,23.9,10,2,2,40,8e+05
"65",0.1,0.01,1,147.966666666667,0,10,2,2,40,8e+05
"66",0.2,0.01,1,147.633333333333,0,10,2,2,40,8e+05
"67",0.3,0.01,2,66.9333333333333,19.3666666666667,10,2,2,40,8e+05
"68",0.4,0.01,2,50.7666666666667,19.5,10,2,2,40,8e+05
"69",0.1,0.01,1,141.4,0,10,2,2,40,8e+05
"70",0.2,0.01,2,130.133333333333,4.93333333333333,10,2,2,40,8e+05
"71",0.3,0.01,2,65.4,17.9,10,2,2,40,8e+05
"72",0.4,0.01,2,49.8,25.5,10,2,2,40,8e+05
"73",0.1,0.01,1,133.633333333333,0,10,2,2,40,8e+05
"74",0.2,0.01,1,136.9,0,10,2,2,40,8e+05
"75",0.3,0.01,2,62.1,22.7,10,2,2,40,8e+05
"76",0.4,0.01,2,52.1666666666667,22.8666666666667,10,2,2,40,8e+05
"77",0.1,0.01,1,137.333333333333,0,10,2,2,40,8e+05
"78",0.2,0.01,1,139.466666666667,0,10,2,2,40,8e+05
"79",0.3,0.01,2,59.1666666666667,23.7333333333333,10,2,2,40,8e+05
"80",0.4,0.01,2,49.7333333333333,24.0666666666667,10,2,2,40,8e+05
"81",0.1,0.01,1,134.066666666667,0,10,2,2,40,8e+05
"82",0.2,0.01,1,134.466666666667,0,10,2,2,40,8e+05
"83",0.3,0.01,2,67.6,19.3666666666667,10,2,2,40,8e+05
"84",0.4,0.01,2,49,26.7333333333333,10,2,2,40,8e+05
"85",0.1,0.01,1,140.8,0,10,2,2,40,8e+05
"86",0.2,0.01,2,115.366666666667,8.3,10,2,2,40,8e+05
"87",0.3,0.01,2,60.5666666666667,21.2333333333333,10,2,2,40,8e+05
"88",0.4,0.01,2,71.2,19.7666666666667,10,2,2,40,8e+05
"89",0.1,0.01,1,142.633333333333,0,10,2,2,40,8e+05
"90",0.2,0.01,1,150.866666666667,0,10,2,2,40,8e+05
"91",0.3,0.01,2,60,23,10,2,2,40,8e+05
"92",0.4,0.01,2,50.5,23.4333333333333,10,2,2,40,8e+05
"93",0.1,0.01,1,140.766666666667,0,10,2,2,40,8e+05
"94",0.2,0.01,1,144.7,0,10,2,2,40,8e+05
"95",0.3,0.01,2,63.7,21,10,2,2,40,8e+05
"96",0.4,0.01,2,49.6666666666667,21.9,10,2,2,40,8e+05
"97",0.1,0.01,2,143.5,0.833333333333333,10,2,2,40,8e+05
"98",0.2,0.01,1,142.9,0,10,2,2,40,8e+05
"99",0.3,0.01,2,74.5,19.6666666666667,10,2,2,40,8e+05
"100",0.4,0.01,2,56.2666666666667,21.9333333333333,10,2,2,40,8e+05
"101",0.1,0.01,1,136.166666666667,0,10,2,2,40,8e+05
"102",0.2,0.01,1,137.266666666667,0,10,2,2,40,8e+05
"103",0.3,0.01,2,75.2333333333333,18.2333333333333,10,2,2,40,8e+05
"104",0.4,0.01,2,52.0666666666667,21.6666666666667,10,2,2,40,8e+05
"105",0.1,0.01,1,145.366666666667,0,10,2,2,40,8e+05
"106",0.2,0.01,1,141.333333333333,0,10,2,2,40,8e+05
"107",0.3,0.01,2,60,19.1,10,2,2,40,8e+05
"108",0.4,0.01,2,50.1666666666667,24.3666666666667,10,2,2,40,8e+05
"109",0.1,0.01,1,146.466666666667,0,10,2,2,40,8e+05
"110",0.2,0.01,1,136.3,0,10,2,2,40,8e+05
"111",0.3,0.01,2,97.8333333333333,14.1,10,2,2,40,8e+05
"112",0.4,0.01,2,52.3666666666667,23.8,10,2,2,40,8e+05
"113",0.1,0.01,1,138.166666666667,0,10,2,2,40,8e+05
"114",0.2,0.01,1,140.066666666667,0,10,2,2,40,8e+05
"115",0.3,0.01,2,72.2333333333333,19.8333333333333,10,2,2,40,8e+05
"116",0.4,0.01,2,53.8666666666667,23.0333333333333,10,2,2,40,8e+05
"117",0.1,0.01,1,140.966666666667,0,10,2,2,40,8e+05
"118",0.2,0.01,2,139.2,1.43333333333333,10,2,2,40,8e+05
"119",0.3,0.01,2,98.7333333333333,9.76666666666667,10,2,2,40,8e+05
"120",0.4,0.01,2,48.1,27.1,10,2,2,40,8e+05
"121",0.1,0.01,1,144.166666666667,0,10,2,2,40,8e+05
"122",0.2,0.01,1,141.8,0,10,2,2,40,8e+05
"123",0.3,0.01,2,69.9333333333333,19.6333333333333,10,2,2,40,8e+05
"124",0.4,0.01,2,51.9,26.1,10,2,2,40,8e+05
"125",0.1,0.01,1,139,0,10,2,2,40,8e+05
"126",0.2,0.01,2,125.133333333333,5.36666666666667,10,2,2,40,8e+05
"127",0.3,0.01,2,58.3333333333333,21.4333333333333,10,2,2,40,8e+05
"128",0.4,0.01,2,54.5666666666667,25.2333333333333,10,2,2,40,8e+05
"129",0.1,0.01,1,145.233333333333,0,10,2,2,40,8e+05
"130",0.2,0.01,1,134.866666666667,0,10,2,2,40,8e+05
"131",0.3,0.01,2,69.7,20.4,10,2,2,40,8e+05
"132",0.4,0.01,2,53.0666666666667,22.9333333333333,10,2,2,40,8e+05
"133",0.1,0.01,1,150.733333333333,0,10,2,2,40,8e+05
"134",0.2,0.01,1,150,0,10,2,2,40,8e+05
"135",0.3,0.01,1,148.1,0,10,2,2,40,8e+05
